#FE1 FE10, chipID0 chipID5, ch16 ch16

ch1 1040
ch2 1200

pngName FE1-FE10_chipID0-chipID5_ch1040-ch1200.png

#runRange	thr	tune	OV
26549-26586     ith2_0	0.70	1.0
26587-26622     ith2_0	0.73	1.0
26623-26658     ith2_0	0.75	1.0
26659-26694     ith2_0	0.76	1.0
26695-26730     ith2_0	0.77	1.0
26731-26756     ith2_0	0.78	1.0
26758-26776     ith2_0	0.79	1.0
26788-26800     ith2_0	0.795	1.0
26802-26837     ith2_0	0.60	1.0
26838-26873     ith2_0	0.50	1.0
26874-26909     ith2_0	0.40	1.0
26910-26945     ith2_0	0.05	1.0
26946-26981     ith2_0	0.25	1.0
26982-27017     ith2_0	0.80	2.0
27020-27036     ith2_0	0.81	2.0
27037-27058     ith2_0	0.75	2.0
27060-27095     ith2_0	0.70	2.0
27096-27131     ith2_0	0.77	2.0
27132-27167     ith2_0	0.60	2.0
27168-27203     ith2_0	0.79	2.0
27204-27239     ith2_0	0.78	2.0
27240-27275     ith2_0	0.30	2.0
27276-27311     ith2_0	0.05	2.0
27312-27347     ith2_0	0.80	3.0
27348-27378     ith2_0	0.81	3.0
27379-27391     ith2_0	0.82	3.0
27392-27427     ith2_0	0.805	3.0
27428-27445     ith2_0	0.815	3.0
27447-27482     ith2_0	0.75	3.0
27483-27518     ith2_0	0.30	3.0
27519-27554     ith2_0	0.77	3.0
27557-27592     ith2_0	0.78	3.0
27593-27628	ith2_0	0.79	3.0
27622-27664	ith2_0	0.795	3.0
27665-27700	ith2_0	0.05	3.0
27701-27736	ith2_0	0.80	5.0
27737-27772	ith2_0	0.81	5.0
27773-27798	ith2_0	0.82	5.0
27800-27813	ith2_0	0.83	5.0
27815-27850	ith2_0	0.75	5.0
27851-27886	ith2_0	0.70	5.0
27887-27919	ith2_0	0.77	5.0
27921-27956	ith2_0	0.60	5.0
27957-27992	ith2_0	0.785	5.0
27993-28028	ith2_0	0.50	5.0
28029-28064	ith2_0	0.05	5.0
28065-28100	ith2_0	0.05	5.0
28101-28136	ith2_0	0.05	5.0
28137-28172	ith2_0	0.03	5.0
#28173-28208	ith2_0	0.05	4.0
28209-28244	ith2_0	0.03	3.0
